C,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
6,0.52,0.58,0.55,0.45,0.50,0.40,0.38,0.30,0.22,0.20,0.18,0.16,0.13,0.10,0.09,0.06,0.05,0.05,0.03,0
7,0.58,0.73,0.67,0.55,0.57,0.49,0.47,0.38,0.30,0.26,0.25,0.22,0.20,0.14,0.13,0.09,0.08,0.06,0.03,0
8,0.73,0.83,0.78,0.67,0.64,0.56,0.52,0.42,0.39,0.35,0.31,0.28,0.26,0.17,0.16,0.11,0.09,0.07,0.04,0
9,0.83,0.95,0.88,0.78,0.70,0.62,0.59,0.50,0.45,0.39,0.35,0.33,0.30,0.22,0.19,0.14,0.11,0.08,0.04,0
10,0.95,1.00,0.95,0.88,0.78,0.70,0.64,0.60,0.52,0.44,0.40,0.38,0.36,0.26,0.24,0.17,0.13,0.09,0.05,0
11,1.05,1.13,1.08,0.95,0.84,0.80,0.73,0.69,0.60,0.53,0.47,0.45,0.40,0.31,0.27,0.19,0.15,0.10,0.06,0
12,1.15,1.22,1.15,1.08,0.92,0.90,0.82,0.77,0.69,0.62,0.53,0.49,0.46,0.36,0.30,0.22,0.18,0.11,0.06,0
13,1.29,1.32,1.26,1.15,1.00,0.98,0.91,0.85,0.79,0.69,0.60,0.55,0.50,0.40,0.34,0.26,0.20,0.13,0.07,0
14,1.40,1.44,1.36,1.26,1.10,1.08,1.00,0.94,0.88,0.78,0.68,0.62,0.57,0.45,0.38,0.30,0.22,0.15,0.08,0
15,1.62,1.53,1.45,1.36,1.28,1.19,1.11,1.02,0.94,0.85,0.77,0.68,0.6,0.51,0.43,0.34,0.26,0.17,0.09,0
16,1.73,1.64,1.55,1.46,1.36,1.27,1.18,1.09,1,0.91,0.82,0.73,0.64,0.55,0.45,0.36,0.27,0.18,0.09,0
17,1.84,1.75,1.65,1.55,1.45,1.36,1.26,1.16,1.07,0.97,0.87,0.78,0.68,0.58,0.48,0.39,0.3,0.19,0.1,0
18,1.96,1.86,1.76,1.65,1.55,1.45,1.34,1.24,1.14,1.03,0.93,0.83,0.72,0.62,0.52,0.41,0.31,0.21,0.1,0
19,2.09,1.98,1.87,1.76,1.65,1.54,1.43,1.32,1.21,1.1,0.99,0.88,0.77,0.66,0.55,0.44,0.33,0.22,0.11,0
20,2.22,2.11,1.99,1.87,1.75,1.64,1.52,1.4,1.29,1.17,1.05,0.94,0.82,0.7,0.58,0.47,0.35,0.23,0.12,0
21,2.37,2.24,2.12,1.99,1.87,1.74,1.62,1.49,1.37,1.24,1.12,1,0.87,0.75,0.62,0.5,0.37,0.25,0.12,0
22,2.51,2.38,2.25,2.12,1.98,1.85,1.72,1.59,1.45,1.32,1.19,1.06,0.93,0.79,0.66,0.53,0.4,0.26,0.13,0
23,2.77,2.62,2.48,2.33,2.18,2.03,1.82,1.66,1.55,1.41,1.26,1.12,0.98,0.84,0.7,0.56,0.42,0.28,0.14,0
24,2.82,2.68,2.53,2.38,2.23,2.08,1.92,1.79,1.64,1.49,1.34,1.19,1.05,0.9,0.75,0.6,0.45,0.3,0.15,0
25,3.01,2.85,2.69,2.54,2.38,2.22,2.06,1.9,1.74,1.59,1.43,1.27,1.11,0.95,0.79,0.63,0.48,0.32,0.16,0
26,3.20,3.03,2.86,2.69,2.52,2.36,2.19,2.02,1.85,1.68,1.51,1.35,1.18,1.01,0.84,0.67,0.5,0.34,0.17,0
27,3.39,3.21,3.03,2.85,2.68,2.50,2.32,2.14,1.96,1.78,1.61,1.43,1.25,1.07,0.89,0.71,0.54,0.36,0.18,0
28,3.59,3.40,3.21,3.02,2.84,2.65,2.46,2.27,2.08,1.89,1.7,1.51,1.32,1.13,0.95,0.76,0.57,0.38,0.19,0
29,3.81,3.61,3.41,3.21,3.01,2.81,2.61,2.41,2.2,2,1.8,1.6,1.4,1.2,1,0.8,0.6,0.4,0.2,0
30,4.04,3.82,3.61,3.40,3.19,2.97,2.76,2.55,2.34,2.12,1.91,1.7,1.49,1.27,1.06,0.85,0.64,0.42,0.21,0
31,4.27,4.05,3.82,3.60,3.37,3.15,2.92,2.7,2.47,2.25,2.02,1.8,1.57,1.35,1.12,0.9,0.67,0.45,0.22,0
32,4.52,4.28,4.05,3.81,3.57,3.33,3.09,2.86,2.62,2.38,2.14,1.9,1.67,1.43,1.19,0.95,0.71,0.48,0.24,0
33,4.78,4.53,4.28,4.03,3.78,3.52,3.27,3.02,2.77,2.52,2.27,2.01,1.76,1.51,1.26,1.01,0.76,0.5,0.25,0
34,5.06,4.79,4.53,4.26,3.99,3.73,3.46,3.2,2.93,2.66,2.4,2.13,1.86,1.6,1.33,1.07,0.8,0.53,0.27,0
35,5.09,4.83,4.56,4.30,4.20,3.77,3.66,3.38,3.1,2.81,2.53,2.25,1.97,1.69,1.41,1.13,0.84,0.56,0.28,0